,Ticker,Nazwa2,sektor,rok,gielda,ta,txt,pi,str,xrd,ni,ppent,intant,dlc,dltt,capex,revenue,cce,adv,etr,diff,roa,lev,intan,rd,ppe,sale,cash_holdings,adv_expenditure,capex2,cfc,dta,capex2_scaled,y_v2x_polyarchy,y_e_p_polity,y_BR_Democracy,WB_GDPgrowth,WB_GDPpc,WB_Inflation,rr_per_country,rr_per_sector
0,11B PW Equity,11 bit studios SA,communication,2005,1,21.12761306762695,1.241850018501282,6.329724788665771,0.1899999976158142,0.0,5.087900161743164,0.2762750089168549,4.195899963378906,0.0,0.0,2.22341251373291,11.87330055236816,12.14297485351562,0.0,0.19619336700467335,-0.0061933693888591435,0.2408175568843204,0.0,0.19859791780303507,0.0,0.013076489427960074,0.4459543854350955,0.5747442843944282,0.0,8.047823516321186,0,0,0.007468977852661811,0.877,10,1,3.493667637,8021.003655,2.183798724,0.33486814723714753,0.030010231698461853
1,11B PW Equity,11 bit studios SA,communication,2006,1,21.12761306762695,1.241850018501282,6.329724788665771,0.1899999976158142,0.0,5.087900161743164,0.2762750089168549,4.195899963378906,0.0,0.0,2.22341251373291,11.87330055236816,12.14297485351562,0.0,0.19619336700467335,-0.0061933693888591435,0.2408175568843204,0.0,0.19859791780303507,0.0,0.013076489427960074,0.4459543854350955,0.5747442843944282,0.0,8.047823516321186,0,0,0.007468977852661811,0.884,10,1,6.179641346,9038.730847,1.284693944,0.4213960255340266,0.13619431382130753
2,11B PW Equity,11 bit studios SA,communication,2007,1,21.12761306762695,1.241850018501282,6.329724788665771,0.1899999976158142,0.0,5.087900161743164,0.2762750089168549,4.195899963378906,0.0,0.0,2.22341251373291,11.87330055236816,12.14297485351562,0.0,0.19619336700467335,-0.0061933693888591435,0.2408175568843204,0.0,0.19859791780303507,0.0,0.013076489427960074,0.4459543854350955,0.5747442843944282,0.0,8.047823516321186,0,0,0.007468977852661811,0.887,10,1,7.034828301,11255.4367,2.458743124,0.10422015945646702,0.035492902124778694
3,11B PW Equity,11 bit studios SA,communication,2008,1,21.12761306762695,1.241850018501282,6.329724788665771,0.1899999976158142,0.0,5.087900161743164,0.2762750089168549,4.195899963378906,0.0,0.0,2.22341251373291,11.87330055236816,12.14297485351562,0.0,0.19619336700467335,-0.0061933693888591435,0.2408175568843204,0.0,0.19859791780303507,0.0,0.013076489427960074,0.4459543854350955,0.5747442843944282,0.0,8.047823516321186,0,0,0.007468977852661811,0.869,10,1,4.249608503,14001.44688,4.164971935,-0.5111781338360037,-0.38469451010579236
4,11B PW Equity,11 bit studios SA,communication,2009,1,21.12761306762695,1.241850018501282,6.329724788665771,0.1899999976158142,0.0,5.087900161743164,0.2762750089168549,4.195899963378906,0.0,0.0,2.22341251373291,11.87330055236816,12.14297485351562,0.0,0.188487182282044,-0.0061933693888591435,0.2408175568843204,0.0,0.19859791780303507,0.0,0.013076489427960074,0.4459543854350955,0.5747442843944282,0.0,8.047823516321186,0,0,0.007468977852661811,0.878,10,1,2.820259759,11527.59323,3.795392425,0.42971560151316873,0.23489739642742433
5,11B PW Equity,11 bit studios SA,communication,2010,1,1.352399945259094,-0.05370000004768372,-0.2849000096321106,0.1899999976158142,0.0,-0.2311999946832657,0.002199999988079071,4.195899963378906,0.0,0.0,0.06289999932050705,0.001000000047497451,0.7318000197410583,0.0,0.18446785211129638,0.0015128153337702066,-0.17095534164560486,0.0,1.0,0.0,0.00162673770861296,0.0007391530293967427,0.5411121335122943,0.0,28.590908936971474,0,0,0.026534486647804376,0.888,10,1,3.606928261,12599.53358,2.580693703,0.18263252656507992,0.12635236798739
6,11B PW Equity,11 bit studios SA,communication,2011,1,2.986200094223022,0.2924000024795532,1.585100054740906,0.1899999976158142,0.0,1.292799949645996,0.002199999988079071,0.05370000004768372,0.0,0.0,0.1086999997496605,2.365999937057495,1.299399971961975,0.0,0.20195846012438518,0.0055321455045178325,0.43292475683293724,0.0,0.01798271996292864,0.0,0.0007367222284719296,0.5835059895166681,0.4351349310033644,0.0,49.409091063028534,0,0,0.04585530561418224,0.892,10,1,5.0172352,13893.50926,4.239401496,-0.21099403304824937,-1.5903054976846592e-05
7,11B PW Equity,11 bit studios SA,communication,2012,1,7.33650016784668,0.3402999937534332,1.684999942779541,0.1899999976158142,0.0,1.34469997882843,0.007199999876320362,0.02989999949932098,0.0,0.0,0.1289999932050705,3.34660005569458,3.46589994430542,0.0,0.21482520657885293,-0.011958462508570966,0.18328902720152324,0.0,0.004075512685239516,0.0,0.0009813943585628812,0.3758011619674861,0.47241870987684975,0.0,17.916666030694063,0,0,0.01662799656396584,0.922,10,1,1.607906645,13145.53926,3.560371517,0.25834518264735457,0.1329218499277125
8,11B PW Equity,11 bit studios SA,communication,2013,1,8.712699890136719,0.2759000062942505,1.284299969673157,0.1899999976158142,0.0,1.008399963378906,0.06319999694824219,0.4666999876499176,0.0,0.0,0.6887000203132629,4.304699897766113,3.740999937057495,0.0,0.19174390279627465,-0.02482520896303872,0.1157390907634123,0.0,0.05356548412487489,0.0,0.007253778707537975,0.40150518902818355,0.42937321200429773,0.0,10.897152746340728,0,0,0.01011336696865054,0.872,10,1,1.391892321,13781.06261,0.991982606,0.0692768509487377,0.2960124527587487
9,11B PW Equity,11 bit studios SA,communication,2014,1,21.51589965820312,2.190999984741211,11.4266996383667,0.1899999976158142,0.0,9.235699653625488,0.1036000028252602,1.444200038909912,0.0,0.0,1.126399993896484,15.59589958190918,7.644000053405762,0.0,0.2121755023740679,-0.0017439051804604422,0.42924998723464014,0.0,0.06712245650203609,0.0,0.004815043966137935,0.5451427770564286,0.35527215570051335,0.0,10.872586517167933,0,0,0.010090567683695682,0.886,10,1,3.318447537,14347.91458,0.053821313,-0.00492235209235761,0.1154150368933723
